user_id,events_count,unique_active_days,first_event_ts,last_event_ts,support_contacts_count,error_event_count,events_last_30d
0106-GHRQR,55,52,2023-02-19 04:21:50,2024-09-11 22:37:44,1,1,12
0106-UGRDO,59,57,2023-01-18 01:40:01,2024-07-29 14:57:36,4,5,16
0107-WESLM,64,61,2023-02-03 01:15:09,2024-09-02 18:10:21,0,1,18
0107-YHINA,68,64,2023-01-08 18:25:56,2024-09-09 21:06:19,2,6,18
0111-KLBQG,160,138,2023-01-02 01:46:53,2024-08-16 00:25:42,2,3,51
0112-QAWRZ,26,26,2023-01-09 19:22:59,2024-09-08 01:48:42,1,0,10
0112-QWPNC,27,27,2023-01-23 22:58:04,2024-08-21 15:39:19,0,3,7
0114-IGABW,63,59,2023-02-03 19:33:34,2024-07-21 04:30:26,0,5,12
0114-PEGZZ,29,29,2023-02-14 12:51:21,2024-01-05 03:21:01,0,1,3
0114-RSRRW,61,57,2023-01-14 03:26:36,2024-10-13 06:39:59,0,3,10
0115-TFERT,64,59,2023-01-22 22:34:43,2024-10-20 00:00:01,4,1,19
0117-LFRMW,26,26,2023-03-15 13:29:27,2024-06-29 00:14:00,0,0,11
0118-JPNOY,32,30,2023-02-24 22:12:31,2024-12-06 08:26:11,1,1,14
0121-SNYRK,66,66,2023-01-04 22:36:29,2024-07-05 23:02:52,2,1,20
0122-OAHPZ,155,133,2023-01-08 05:32:55,2024-10-12 18:47:21,5,8,50
0123-CRBRT,151,125,2023-01-07 21:11:01,2024-11-15 16:55:18,1,5,41
0125-LZQXK,54,49,2023-01-31 00:12:59,2024-08-17 08:44:13,0,1,16
0128-MKWSG,29,28,2023-02-19 11:23:18,2024-08-26 04:58:49,2,1,9
0129-KPTWJ,32,31,2023-01-18 16:07:43,2024-07-23 23:34:12,2,2,12
0129-QMPDR,61,54,2023-02-22 03:34:02,2024-11-21 14:05:24,0,4,13
0130-SXOUN,26,26,2023-02-17 23:06:07,2024-03-10 12:14:36,0,0,4
0133-BMFZO,27,26,2023-03-15 04:24:20,2024-06-20 04:44:27,0,3,12
0134-XWXCE,62,59,2023-01-08 15:06:37,2024-10-09 00:45:02,0,0,18
0135-NMXAP,65,62,2023-01-06 20:39:52,2024-07-05 04:14:45,1,2,20
0136-IFMYD,50,47,2023-01-21 20:25:23,2024-09-21 12:42:57,0,2,13
0137-OCGAB,66,64,2023-02-15 10:27:11,2024-09-13 09:53:47,4,3,22
0137-UDEUO,32,29,2023-01-05 06:08:09,2024-06-25 17:08:47,1,2,9
0139-IVFJG,55,55,2023-01-03 12:24:11,2025-01-31 08:11:14,2,1,13
0141-YEAYS,60,55,2023-01-22 19:22:17,2024-11-12 10:24:20,1,3,13
0142-GVYSN,51,48,2023-02-16 03:15:41,2024-10-14 20:58:02,2,4,11
0147-ESWWR,28,28,2023-03-28 00:05:50,2024-05-14 21:48:13,0,2,10
0148-DCDOS,53,49,2023-02-03 11:11:22,2024-10-08 08:03:36,2,1,17
0151-ONTOV,64,60,2023-01-01 01:46:36,2024-11-15 22:11:06,1,2,32
0156-FVPTA,36,35,2023-02-06 01:58:10,2024-08-29 06:21:22,0,0,14
0164-APGRB,71,65,2023-01-30 07:20:19,2024-09-15 09:56:01,2,1,17
0164-XAIRP,37,36,2023-01-27 13:08:59,2024-10-12 02:13:39,1,2,11
0168-XZKBB,22,22,2023-01-22 02:41:56,2024-05-02 15:40:33,1,1,8
0174-QRVVY,35,34,2023-02-08 10:43:36,2024-07-16 17:11:02,2,2,8
0177-PXBAT,156,136,2023-01-02 17:41:19,2024-09-18 22:06:41,3,6,47
0178-CIIKR,20,20,2023-01-26 03:07:33,2024-06-29 20:59:24,3,0,4
0178-SZBHO,57,54,2023-02-13 05:58:08,2024-06-09 22:05:07,1,2,13
0181-RITDD,66,63,2023-01-13 17:47:15,2024-09-08 05:07:09,0,2,16
0186-CAERR,34,33,2023-02-02 19:48:22,2024-07-06 11:53:55,0,0,9
0187-QSXOE,32,31,2023-02-01 09:27:06,2024-10-08 05:59:01,0,2,13
0187-WZNAB,57,55,2023-01-14 16:25:30,2024-11-02 13:02:26,0,3,17
0188-GWFLE,61,57,2023-02-02 03:31:57,2024-12-22 03:56:55,2,3,24
0191-EQUUH,32,32,2023-03-24 09:20:39,2024-11-28 04:43:33,0,3,13
0191-ZHSKZ,155,135,2023-01-07 11:56:42,2024-07-31 03:05:28,3,5,46
0193-ESZXP,20,20,2023-02-11 02:39:22,2024-07-10 07:03:16,1,1,11
0195-IESCP,150,138,2023-01-04 08:55:04,2024-12-31 17:41:55,0,3,40
0196-JTUQI,60,54,2023-01-09 19:17:51,2024-12-21 22:20:21,1,0,17
0196-VULGZ,34,34,2023-01-28 22:12:26,2024-11-10 14:34:07,0,0,10
0197-PNKNK,58,56,2023-01-09 03:38:29,2024-06-12 17:46:20,0,2,16
0201-MIBOL,37,36,2023-02-08 16:33:51,2024-11-04 06:43:58,2,0,14
0201-OAMXR,55,51,2023-01-06 23:10:05,2024-12-15 23:43:56,3,2,20
0203-HHYIJ,61,60,2023-02-01 10:47:25,2024-07-27 10:07:06,0,1,20
0206-OYVOC,31,31,2023-01-04 08:01:15,2024-08-31 08:58:09,1,1,10
0206-TBWLC,116,100,2023-01-01 22:18:49,2024-09-26 10:48:13,2,5,37
0207-MDKNV,67,63,2023-01-28 23:06:40,2024-08-19 05:37:43,0,3,24
0208-BPQEJ,55,54,2023-01-14 17:23:13,2024-06-05 01:16:59,0,3,13
0212-ISBBF,26,25,2023-01-21 14:35:17,2024-04-16 06:24:29,0,1,7
0214-JHPFW,132,111,2023-01-16 23:08:34,2024-12-25 17:32:01,4,3,36
0215-BQKGS,145,129,2023-01-17 21:14:15,2024-12-16 08:16:59,3,6,43
0218-QNVAS,23,23,2023-02-07 17:33:05,2024-05-17 00:14:43,1,1,5
0219-QAERP,66,62,2023-01-30 15:59:14,2024-11-07 11:25:14,0,2,17
0219-YTZUE,143,116,2023-01-01 02:20:27,2024-10-06 22:14:06,4,6,36
0220-EBGCE,35,34,2023-02-18 19:53:02,2024-10-28 13:42:06,1,1,11
0221-NAUXK,29,29,2023-02-22 13:21:12,2024-10-29 17:26:59,1,3,10
0221-WMXNQ,161,135,2023-01-09 12:02:41,2024-10-08 10:02:23,2,7,46
0222-CNVPT,62,60,2023-02-06 23:17:35,2024-11-24 02:58:30,2,4,18
0224-HJAPT,61,59,2023-01-19 21:43:56,2024-11-28 09:33:41,0,2,20
0224-NIJLP,35,31,2023-02-03 08:01:16,2024-11-13 10:59:46,1,2,15
0224-RLWWD,136,118,2023-01-17 02:42:20,2025-01-30 22:10:33,3,3,43
0225-ZORZP,40,39,2023-03-04 06:41:52,2024-09-30 20:31:07,0,0,15
0228-MAUWC,33,33,2023-02-28 02:54:14,2024-10-28 16:07:39,1,1,11
0229-LFJAF,53,53,2023-01-01 02:16:05,2024-07-10 21:40:07,1,3,16
0230-UBYPQ,32,30,2023-01-10 06:05:03,2024-10-17 10:50:50,0,3,11
0230-WEQUW,154,131,2023-01-09 08:23:54,2024-10-23 00:03:03,1,5,45
0231-LXVAP,31,31,2023-02-28 01:17:38,2024-08-15 00:55:01,1,1,9
0233-FTHAV,68,61,2023-01-17 08:31:22,2024-05-09 10:36:01,1,2,18
0234-TEVTT,55,52,2023-01-09 11:58:41,2024-11-21 05:01:07,2,1,19
0235-KGSLC,65,61,2023-02-01 20:36:46,2024-12-14 01:49:01,5,1,17
0236-HFWSV,54,51,2023-01-13 20:37:25,2024-07-14 00:29:47,1,2,15
0237-YFUTL,36,35,2023-04-04 18:46:49,2024-12-23 21:46:17,0,3,10
0238-WHBIQ,56,52,2023-02-24 14:56:46,2024-08-06 22:17:37,1,0,21
0239-OXEXL,34,34,2023-02-21 13:39:24,2024-08-27 01:30:50,1,1,11
0244-LGNFY,66,63,2023-01-05 13:22:29,2024-08-03 13:28:18,0,1,23
0247-SLUJI,60,55,2023-02-12 03:38:48,2024-11-22 17:59:25,1,3,20
0248-IPDFW,60,58,2023-01-13 02:11:48,2024-09-06 19:02:04,0,5,17
0248-PGHBZ,27,26,2023-01-21 13:30:59,2024-07-14 05:43:13,0,0,9
0253-ZTEOB,67,61,2023-01-06 05:58:28,2024-08-02 04:40:36,1,4,19
0254-FNMCI,23,21,2023-02-02 12:34:47,2024-10-18 03:59:08,1,0,5
0254-KCJGT,67,65,2023-02-08 14:16:29,2024-08-28 00:02:04,2,0,16
0254-WWRKD,29,28,2023-03-28 11:59:24,2024-05-14 00:08:09,1,3,8
0256-LTHVJ,130,114,2023-01-24 12:22:07,2024-08-28 21:25:38,1,5,40
0257-KXZGU,28,27,2023-02-22 13:29:10,2024-06-16 10:52:51,1,0,7
0257-ZESQC,166,142,2023-01-16 03:45:10,2024-10-28 20:21:31,6,6,49
0258-NOKBL,65,65,2023-01-26 13:52:28,2024-10-02 06:15:14,1,4,17
0259-GBZSH,131,116,2023-01-09 22:30:39,2024-12-01 18:38:19,2,3,40
0260-ZDLGK,28,25,2023-03-15 13:28:38,2024-11-08 11:39:12,0,1,7
0263-FJTQO,56,54,2023-03-02 23:02:16,2024-09-23 04:15:41,2,1,18
0264-CNITK,23,23,2023-05-05 08:53:17,2024-06-08 14:34:32,1,1,10
0265-EDXBD,147,130,2023-01-13 09:40:24,2024-11-23 07:39:08,5,4,55
0265-PSUAE,41,39,2023-01-04 21:42:44,2024-07-25 13:10:33,0,1,13
0266-CLZKZ,65,58,2023-02-08 07:03:01,2024-12-16 07:43:32,1,4,19
0266-GMEAO,36,35,2023-02-05 09:23:43,2024-06-12 21:12:18,1,3,7
0268-QKIWO,48,46,2023-01-14 14:39:51,2024-10-02 07:24:40,1,2,9
0269-XFESX,42,40,2023-02-18 11:49:50,2024-08-04 04:18:27,2,1,18
0270-THENM,33,33,2023-02-07 23:52:36,2024-03-26 21:28:50,1,2,8
0274-JKUJR,55,51,2023-02-03 07:33:23,2024-07-18 03:14:06,2,1,7
0277-BKSQP,21,20,2023-01-14 09:29:45,2024-11-21 00:03:41,0,0,9
0277-ORXQS,58,55,2023-01-19 23:26:02,2025-02-04 20:11:10,2,1,15
0278-YXOOG,132,113,2023-01-10 09:14:30,2024-11-15 06:32:54,4,6,43
0280-XJGEX,141,123,2023-01-01 07:47:22,2024-11-10 19:19:45,3,6,44
0281-CNTZX,37,34,2023-02-06 03:26:52,2024-08-12 00:36:37,2,1,7
0282-NVSJS,29,29,2023-02-08 05:47:25,2024-08-21 04:49:59,0,1,8
0285-INHLN,62,59,2023-01-16 17:32:15,2024-08-01 06:28:14,2,0,21
0289-IVARM,34,32,2023-01-11 15:27:39,2024-07-25 05:08:27,1,0,5
0292-WEGCH,29,29,2023-01-20 01:58:15,2024-10-02 08:05:14,0,0,11
0295-PPHDO,21,21,2023-01-09 17:33:46,2024-06-17 06:46:22,1,0,6
0295-QVKPB,65,63,2023-01-10 11:53:27,2024-08-08 01:57:13,1,2,21
0297-RBCSG,56,55,2023-01-16 17:27:39,2024-06-25 18:49:09,2,2,9
0298-XACET,36,35,2023-01-27 03:47:34,2024-10-24 08:05:23,0,0,14
0301-FIDRB,58,55,2023-01-14 05:39:15,2024-10-23 06:09:43,1,1,19
0301-KOBTQ,67,64,2023-03-08 13:29:36,2024-11-15 09:54:55,2,4,13
0302-JOIVN,32,31,2023-01-25 14:04:07,2024-06-26 15:28:40,0,1,14
0303-UNCIP,159,135,2023-01-02 08:30:12,2024-11-02 14:47:03,2,6,49
0303-WMMRN,32,32,2023-01-11 21:46:00,2024-02-01 01:31:58,1,0,2
0305-SQECB,26,25,2023-03-25 10:05:48,2024-11-10 08:26:50,0,1,8
0306-JAELE,128,113,2023-02-05 00:31:06,2024-12-28 00:33:46,4,5,40
0307-BCOPK,36,35,2023-02-25 19:50:43,2024-06-29 03:44:10,0,3,10
0308-GIQJT,65,60,2023-02-04 05:39:13,2024-09-07 12:28:09,2,2,20
0308-IVGOK,148,131,2023-01-05 10:28:09,2024-10-09 12:04:54,2,10,44
0310-MVLET,51,49,2023-01-13 23:46:01,2024-07-09 21:40:36,2,3,13
0310-SUCIN,52,52,2023-03-03 04:51:23,2024-10-12 18:07:40,3,7,13
0310-VQXAM,22,20,2023-02-01 20:52:52,2024-11-26 07:12:51,0,0,6
0311-QYWSS,34,34,2023-02-07 18:15:23,2024-10-15 00:13:29,0,1,15
0311-UNPFF,63,59,2023-01-31 03:14:11,2024-10-28 16:29:22,2,2,16
0314-TKOSI,161,140,2023-01-05 02:35:33,2024-12-23 16:32:42,1,10,45
0315-LVCRK,48,47,2023-02-06 12:23:42,2024-06-24 11:50:04,1,0,10
0318-QUUOB,23,22,2023-02-19 21:08:43,2024-04-12 11:33:38,0,1,10
0318-ZOPWS,159,129,2023-01-07 19:18:56,2025-02-27 23:08:16,3,13,48
0319-QZTCO,52,52,2023-01-11 09:14:21,2024-09-23 14:55:35,1,3,18
0320-DWVTU,66,62,2023-02-02 08:56:11,2024-07-13 07:30:48,1,4,14
0320-JDNQG,68,64,2023-01-22 21:46:27,2024-10-16 17:32:17,0,2,17
0322-CHQRU,63,59,2023-02-06 17:20:12,2024-09-04 12:33:34,1,4,24
0322-YINQP,141,129,2023-01-02 20:25:45,2025-01-20 06:12:17,2,4,50
0323-XWWTN,59,56,2023-01-31 09:18:49,2024-10-23 01:21:43,2,1,21
0324-BRPCJ,40,40,2023-01-18 08:05:26,2024-10-20 15:01:52,5,2,10
0325-XBFAC,24,24,2023-04-02 10:54:42,2024-10-14 13:20:48,0,0,7
0326-VDYXE,65,62,2023-02-23 16:02:19,2024-09-16 01:34:42,1,1,25
0327-WFZSY,22,22,2023-01-16 04:17:41,2024-05-16 20:31:42,0,0,8
0328-GRPMV,29,27,2023-03-14 06:21:20,2024-12-27 01:49:00,0,0,6
0329-GTIAJ,30,30,2023-02-20 16:23:51,2024-09-03 02:34:02,0,0,11
0330-BGYZE,61,56,2023-02-22 12:21:01,2024-06-30 08:27:01,1,6,19
0330-IVZHA,72,68,2023-02-28 11:31:03,2024-10-26 19:44:20,1,2,28
0334-GDDSO,139,129,2023-01-23 14:15:09,2024-09-01 20:15:02,4,7,42
0334-ZFJSR,28,27,2023-01-03 21:05:31,2024-10-27 09:21:20,0,1,10
0336-KXKFK,16,16,2023-01-29 04:46:18,2024-09-23 13:13:23,0,0,4
0336-PIKEI,59,54,2023-01-02 13:49:41,2024-08-14 11:08:18,0,2,17
0337-CNPZE,61,56,2023-02-05 07:22:12,2024-06-02 09:54:04,3,2,19
0343-QLUZP,54,48,2023-01-05 20:09:18,2024-10-24 12:37:23,2,2,7
0345-HKJVM,26,24,2023-01-01 14:48:23,2024-04-18 12:40:48,0,1,6
0345-XMMUG,28,26,2023-02-11 21:38:32,2024-08-21 06:01:34,1,1,4
0347-UBKUZ,51,49,2023-01-23 02:58:47,2024-08-24 11:19:31,1,3,9
0348-SDKOL,56,51,2023-01-08 20:27:49,2024-10-19 04:44:36,3,3,13
0354-VXMJC,51,46,2023-02-12 06:57:38,2024-07-21 01:35:34,1,2,23
0354-WYROK,67,64,2023-01-03 05:48:07,2024-09-10 09:59:09,3,1,24
0356-ERHVT,32,28,2023-02-05 10:08:11,2024-06-08 20:56:44,1,1,6
0356-OBMAC,150,139,2023-01-15 00:31:07,2024-11-15 02:10:35,2,5,48
0357-NVCRI,22,22,2023-03-30 22:49:36,2024-04-06 09:32:28,0,1,4
0361-HJRDX,29,29,2023-02-27 20:32:09,2024-09-29 16:33:56,0,2,11
0362-RAOQO,58,57,2023-01-15 06:29:47,2024-11-18 23:45:08,1,3,22
0362-ZBZWJ,37,36,2023-03-03 13:48:21,2024-08-10 08:22:34,3,2,13
0363-QJVFX,22,20,2023-03-04 06:30:49,2024-04-30 14:39:53,0,1,4
0363-SVHYR,31,31,2023-01-05 02:35:54,2024-10-05 05:05:47,1,0,12
0365-BZUWY,35,32,2023-04-03 14:25:48,2024-06-30 14:46:57,1,0,8
0365-GXEZS,34,34,2023-01-18 13:47:09,2024-06-13 10:32:53,1,5,6
0365-TRTPY,30,29,2023-01-16 04:11:58,2024-10-31 23:55:05,1,1,9
0366-NQSHS,37,34,2023-01-02 13:01:18,2024-06-28 08:07:26,0,1,8
0369-ZGOVK,71,69,2023-01-14 12:25:19,2025-01-20 12:24:15,0,5,22
0373-AIVNJ,33,33,2023-02-08 19:58:24,2024-07-21 15:24:18,1,0,7
0374-AACSZ,37,36,2023-02-17 11:31:06,2024-07-03 03:25:50,1,2,14
0374-FIUCA,144,130,2023-01-27 23:29:28,2024-10-01 10:00:07,3,8,41
0374-IOEGQ,24,24,2023-02-03 02:05:31,2024-08-22 15:19:01,1,1,4
0375-HVGXO,65,63,2023-01-11 06:20:16,2024-10-25 05:29:49,1,1,18
0376-OIWME,30,29,2023-02-21 23:19:57,2024-07-11 03:53:22,0,0,8
0376-YMCJC,53,50,2023-01-30 04:50:14,2024-09-11 08:47:48,1,2,11
0377-JBKKT,33,32,2023-01-06 11:56:32,2024-08-02 02:12:39,1,1,10
0378-CJKPV,30,30,2023-02-04 11:03:23,2024-10-05 14:07:24,0,1,8
0378-NHQXU,40,39,2023-01-04 23:21:05,2024-10-30 01:26:38,0,1,12
0378-TOVMS,35,34,2023-01-25 15:36:43,2024-05-04 11:18:22,2,0,6
0378-XSZPU,33,32,2023-02-16 02:04:19,2024-09-23 06:14:27,0,1,17
0379-DJQHR,46,43,2023-01-13 07:52:00,2024-11-28 08:01:30,0,2,13
0380-NEAVX,55,50,2023-02-05 05:55:43,2024-11-23 02:43:29,2,4,13
0380-ZCSBI,56,52,2023-01-22 00:29:20,2024-08-25 21:43:07,0,0,17
0383-CLDDA,27,25,2023-02-18 19:21:46,2024-01-28 09:26:04,1,2,2
0384-LPITE,56,53,2023-01-05 03:43:54,2024-08-31 00:33:42,2,2,15
0384-RVBPI,60,57,2023-01-06 06:43:09,2024-09-07 19:22:00,3,2,20
0386-CWRGM,62,57,2023-02-08 03:34:03,2024-12-11 23:29:48,1,3,14
0388-EOPEX,176,146,2023-02-03 18:19:21,2024-11-11 10:35:13,3,11,49
0390-DCFDQ,150,127,2023-01-29 07:21:27,2025-02-15 11:01:47,2,6,37
0392-BZIUW,67,66,2023-01-14 06:22:27,2024-11-27 11:56:47,3,3,19
0394-YONDK,37,36,2023-02-16 08:30:33,2024-09-15 23:30:30,2,3,11
0396-HUJBP,51,49,2023-02-28 12:08:53,2024-08-15 14:44:09,1,3,18
0396-UKGAI,16,16,2023-03-04 19:36:42,2024-05-25 22:57:42,1,0,4
0396-YCHWO,65,59,2023-01-08 17:22:51,2024-12-05 18:45:01,1,4,21
0397-GZBBC,51,47,2023-02-18 08:23:52,2024-08-31 15:53:32,0,1,13
0397-ZXWQF,56,53,2023-02-06 03:19:09,2024-07-25 23:31:37,0,5,15
0401-WDBXM,18,18,2023-04-23 03:08:27,2024-08-22 00:36:33,0,1,7
0402-CQAJN,31,31,2023-01-31 13:48:12,2024-08-03 04:08:46,0,1,4
0402-OAMEN,18,18,2023-01-04 02:22:51,2024-06-25 10:07:30,0,1,6
0404-AHASP,59,56,2023-01-10 08:29:03,2024-08-19 23:27:29,2,3,16
0404-SWRVG,156,143,2023-01-08 17:37:41,2024-11-22 18:32:14,6,4,44
0406-BPDVR,29,27,2023-02-01 16:19:36,2024-07-30 21:35:15,0,0,9
0407-BDJKB,61,58,2023-01-12 22:55:30,2024-10-11 03:14:25,0,4,21
0409-WTMPL,51,49,2023-03-12 01:01:34,2024-05-31 01:07:06,1,1,11
0410-IPFTY,67,64,2023-01-01 10:14:31,2025-01-29 23:33:49,0,3,24
0411-EZJZE,66,63,2023-02-09 12:57:05,2024-07-16 02:07:34,1,1,23
0412-UCCNP,28,28,2023-04-27 16:39:58,2024-12-11 09:23:11,1,2,11
0415-MOSGF,66,65,2023-01-12 22:22:28,2024-08-02 06:52:27,2,3,14
0419-YAAPX,30,28,2023-02-05 10:06:40,2024-07-24 20:46:20,1,0,6
0420-BWTPW,63,60,2023-01-02 20:45:21,2024-06-27 21:55:32,0,0,21
0420-HLGXF,22,21,2023-01-25 08:23:50,2024-01-31 08:59:00,0,1,2
0420-TXVSG,42,38,2023-02-06 19:38:11,2024-04-08 20:57:58,0,2,10
0422-OHQHQ,58,55,2023-01-20 20:29:16,2024-10-29 15:41:00,1,5,17
0422-UXFAP,22,22,2023-02-03 04:13:47,2024-09-16 11:11:07,0,1,3
0423-UDIJQ,27,27,2023-01-07 22:23:01,2024-09-01 03:09:25,1,0,6
0426-TIRNE,59,54,2023-01-17 19:53:05,2024-09-16 13:11:37,4,1,9
0428-AXXLJ,66,64,2023-01-09 15:36:43,2024-10-13 00:00:32,1,4,26
0428-IKYCP,68,65,2023-02-10 01:05:57,2024-10-01 20:57:20,1,4,22
0430-IHCDJ,36,36,2023-03-05 02:52:47,2024-09-30 06:40:12,0,2,14
0431-APWVY,57,53,2023-01-09 06:24:17,2024-07-27 01:29:58,2,3,12
0432-CAJZV,34,33,2023-01-06 21:17:07,2024-08-08 23:24:37,0,2,13
0434-CSFON,147,126,2023-01-21 23:08:45,2024-09-26 13:40:56,0,5,46
0436-TWFFZ,65,65,2023-01-12 09:34:30,2024-12-24 10:32:49,1,3,14
0439-IFYUN,30,30,2023-01-16 12:23:29,2024-08-11 21:19:58,1,2,6
0440-EKDCF,32,32,2023-02-04 11:51:24,2024-09-06 22:46:06,1,0,7
0440-MOGPM,40,40,2023-03-27 11:44:39,2024-08-27 21:42:08,1,1,10
0440-QEXBZ,25,25,2023-01-05 21:25:39,2024-07-22 06:31:28,1,0,9
0440-UEDAI,26,25,2023-01-21 12:54:25,2024-10-23 08:25:56,0,1,9
0442-TDYUO,28,27,2023-02-20 20:36:38,2024-11-24 14:19:19,0,1,5
0442-ZXKVS,33,33,2023-01-25 05:31:04,2024-07-04 16:17:13,1,2,8
0447-BEMNG,150,132,2023-01-15 18:43:08,2025-01-19 17:50:58,2,8,47
0447-RXSGD,65,63,2023-01-22 19:58:08,2024-08-27 21:53:41,2,2,26
0454-OKRCT,50,46,2023-03-07 20:09:41,2024-10-04 01:46:12,2,3,15
0455-ENTCR,54,52,2023-01-11 00:30:18,2024-06-25 00:41:48,0,1,16
