user_id,segment,signup_date,active_months,active_month_offsets,churned,churn_date
80,medium,2023-03-01,1,0,True,2023-04-01
81,low,2023-03-01,3,0|1|2,True,2023-06-01
82,medium,2023-04-01,1,0,True,2023-05-01
83,medium,2023-03-01,6,0|1|2|3|4|5,True,2023-09-01
84,medium,2023-02-01,4,0|1|2|3,True,2023-06-01
85,high,2023-03-01,4,0|1|2|3,True,2023-07-01
86,medium,2023-07-01,6,0|1|2|3|4|5,True,2024-01-01
87,medium,2023-03-01,6,0|1|2|3|4|5,True,2023-09-01
88,medium,2023-02-01,5,0|1|2|3|4,True,2023-07-01
89,low,2023-06-01,1,0,True,2023-07-01
90,medium,2023-01-01,6,0|1|2|3|4|5,True,2023-07-01
91,medium,2023-04-01,8,0|1|2|3|4|5|6|17,False,
92,low,2023-03-01,3,0|1|2,True,2023-06-01
93,low,2023-07-01,3,0|1|2,True,2023-10-01
94,high,2023-02-01,10,0|1|2|3|4|5|6|7|8|9,True,2023-12-01
95,medium,2023-05-01,4,0|1|2|3,True,2023-09-01
96,medium,2023-01-01,5,0|1|2|3|4,True,2023-06-01
97,medium,2023-03-01,6,0|1|2|3|4|5,True,2023-09-01
98,high,2023-09-01,5,0|1|2|3|4,True,2024-02-01
99,medium,2023-08-01,5,0|1|2|3|4,True,2024-01-01
100,medium,2023-07-01,8,0|1|2|3|4|5|6|7,True,2024-03-01
101,medium,2023-01-01,1,0,True,2023-02-01
102,low,2023-07-01,3,0|1|2,True,2023-10-01
103,low,2023-06-01,1,0,True,2023-07-01
104,low,2023-07-01,1,0,True,2023-08-01
105,medium,2023-06-01,7,0|1|2|3|4|5|6,True,2024-01-01
106,high,2023-04-01,9,0|1|2|3|4|5|6|7|8,True,2024-01-01
107,low,2023-09-01,1,0,True,2023-10-01
108,medium,2023-07-01,7,0|1|2|3|4|5|6,True,2024-02-01
109,high,2023-02-01,11,0|1|2|3|4|5|6|7|8|9|10,True,2024-01-01
110,medium,2023-01-01,6,0|1|2|3|4|5,True,2023-07-01
111,low,2023-01-01,1,0,True,2023-02-01
112,medium,2023-02-01,5,0|1|2|3|4,True,2023-07-01
113,medium,2023-09-01,7,0|1|2|3|4|5|6,True,2024-04-01
114,low,2023-04-01,2,0|1,True,2023-06-01
115,medium,2023-05-01,8,0|1|2|3|4|5|6|7,True,2024-01-01
116,low,2023-04-01,3,0|1|2,True,2023-07-01
117,low,2023-07-01,1,0,True,2023-08-01
118,medium,2023-01-01,7,0|1|2|3|4|5|6,True,2023-08-01
119,low,2023-08-01,1,0,True,2023-09-01
120,high,2023-04-01,15,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14,True,2024-07-01
121,medium,2023-03-01,7,0|1|2|3|4|5|6,True,2023-10-01
122,medium,2023-05-01,8,0|1|2|3|4|5|6|7,True,2024-01-01
123,high,2023-08-01,9,0|1|2|3|4|5|6|7|8,True,2024-05-01
124,high,2023-03-01,9,0|1|2|3|4|5|6|7|8,True,2023-12-01
125,high,2023-03-01,18,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,False,
126,high,2023-06-01,11,0|1|2|3|4|5|6|7|8|9|10,True,2024-05-01
127,medium,2023-08-01,6,0|1|2|3|4|5,True,2024-02-01
128,high,2023-03-01,12,0|1|2|3|4|5|6|7|8|9|10|11,True,2024-03-01
129,low,2023-03-01,4,0|1|2|3,True,2023-07-01
130,high,2023-09-01,7,0|1|2|3|4|5|6,True,2024-04-01
131,medium,2023-09-01,6,0|1|2|3|4|5,True,2024-03-01
132,low,2023-05-01,3,0|1|2,True,2023-08-01
133,low,2023-04-01,6,0|1|2|3|4|5,True,2023-10-01
134,low,2023-05-01,1,0,True,2023-06-01
135,high,2023-01-01,10,0|1|2|3|4|5|6|7|8|9,True,2023-11-01
136,low,2023-08-01,1,0,True,2023-09-01
137,medium,2023-01-01,6,0|1|2|3|4|5,True,2023-07-01
138,medium,2023-02-01,5,0|1|2|3|4,True,2023-07-01
139,low,2023-05-01,1,0,True,2023-06-01
140,low,2023-04-01,4,0|1|2|3,True,2023-08-01
141,high,2023-04-01,9,0|1|2|3|4|5|6|7|8,True,2024-01-01
142,medium,2023-08-01,8,0|1|2|3|4|5|6|7,True,2024-04-01
143,medium,2023-05-01,1,0,True,2023-06-01
144,low,2023-08-01,1,0,True,2023-09-01
145,low,2023-07-01,1,0,True,2023-08-01
146,low,2023-08-01,4,0|1|2|3,True,2023-12-01
147,medium,2023-07-01,6,0|1|2|3|4|5,True,2024-01-01
148,high,2023-02-01,13,0|1|2|3|4|5|6|7|8|9|10|11|12,True,2024-03-01
149,medium,2023-08-01,6,0|1|2|3|4|5,True,2024-02-01
150,medium,2023-01-01,7,0|1|2|3|4|5|6,True,2023-08-01
151,low,2023-03-01,3,0|1|2,True,2023-06-01
152,low,2023-04-01,4,0|1|2|3,True,2023-08-01
153,low,2023-09-01,1,0,True,2023-10-01
154,medium,2023-05-01,6,0|1|2|3|4|5,True,2023-11-01
155,low,2023-07-01,3,0|1|2,True,2023-10-01
156,low,2023-08-01,3,0|1|12,True,2024-09-01
157,medium,2023-03-01,2,0|1,True,2023-05-01
158,high,2023-07-01,9,0|1|2|3|4|5|6|7|8,True,2024-04-01
159,medium,2023-09-01,8,0|1|2|3|4|5|6|7,True,2024-05-01
160,medium,2023-08-01,5,0|1|2|3|4,True,2024-01-01
161,high,2023-08-01,7,0|1|2|3|4|5|6,True,2024-03-01
162,medium,2023-05-01,2,0|1,True,2023-07-01
163,medium,2023-01-01,7,0|1|2|3|4|5|6,True,2023-08-01
164,medium,2023-07-01,4,0|1|2|3,True,2023-11-01
165,low,2023-05-01,4,0|1|2|3,True,2023-09-01
166,medium,2023-05-01,8,0|1|2|3|4|5|6|7,True,2024-01-01
167,medium,2023-02-01,7,0|1|2|3|4|5|6,True,2023-09-01
168,medium,2023-03-01,7,0|1|2|3|4|5|6,True,2023-10-01
169,high,2023-06-01,13,0|1|2|3|4|5|6|7|8|9|10|11|12,True,2024-07-01
170,low,2023-01-01,2,0|11,True,2024-01-01
171,low,2023-04-01,3,0|1|2,True,2023-07-01
172,low,2023-02-01,3,0|1|2,True,2023-05-01
173,low,2023-01-01,3,0|1|2,True,2023-04-01
174,medium,2023-09-01,2,0|1,True,2023-11-01
175,medium,2023-05-01,10,0|1|2|3|4|5|6|7|8|9,True,2024-03-01
176,low,2023-07-01,3,0|1|2,True,2023-10-01
177,low,2023-08-01,4,0|1|2|3,True,2023-12-01
178,medium,2023-09-01,6,0|1|2|3|4|5,True,2024-03-01
179,medium,2023-09-01,7,0|1|2|3|4|5|6,True,2024-04-01
180,medium,2023-02-01,7,0|1|2|3|4|5|6,True,2023-09-01
181,medium,2023-06-01,6,0|1|2|3|4|5,True,2023-12-01
182,low,2023-08-01,2,0|1,True,2023-10-01
183,low,2023-04-01,3,0|1|2,True,2023-07-01
184,medium,2023-07-01,4,0|1|2|3,True,2023-11-01
185,medium,2023-09-01,7,0|1|2|3|4|5|6,True,2024-04-01
186,high,2023-03-01,16,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,True,2024-07-01
187,low,2023-08-01,2,0|1,True,2023-10-01
188,low,2023-02-01,4,0|1|2|3,True,2023-06-01
189,medium,2023-09-01,5,0|1|2|3|4,True,2024-02-01
190,low,2023-05-01,1,0,True,2023-06-01
191,low,2023-07-01,4,0|1|2|3,True,2023-11-01
192,low,2023-06-01,2,0|1,True,2023-08-01
193,low,2023-01-01,1,0,True,2023-02-01
194,low,2023-03-01,2,0|17,False,
195,medium,2023-09-01,6,0|1|2|3|4|5,True,2024-03-01
196,medium,2023-03-01,5,0|1|2|3|4,True,2023-08-01
197,medium,2023-03-01,2,0|1,True,2023-05-01
198,high,2023-07-01,2,0|1,True,2023-09-01
199,low,2023-04-01,3,0|1|2,True,2023-07-01
200,low,2023-02-01,1,0,True,2023-03-01
201,medium,2023-03-01,5,0|1|2|3|4,True,2023-08-01
202,medium,2023-06-01,7,0|1|2|3|4|5|6,True,2024-01-01
203,low,2023-07-01,1,0,True,2023-08-01
204,medium,2023-09-01,5,0|1|2|3|4,True,2024-02-01
205,medium,2023-03-01,7,0|1|2|3|4|5|6,True,2023-10-01
206,low,2023-06-01,4,0|1|2|3,True,2023-10-01
207,medium,2023-08-01,7,0|1|2|3|4|5|6,True,2024-03-01
208,low,2023-03-01,1,0,True,2023-04-01
209,low,2023-09-01,3,0|1|2,True,2023-12-01
210,medium,2023-09-01,6,0|1|2|3|4|5,True,2024-03-01
211,medium,2023-07-01,4,0|1|2|3,True,2023-11-01
212,medium,2023-08-01,6,0|1|2|3|4|10,True,2024-07-01
213,medium,2023-06-01,6,0|1|2|3|4|5,True,2023-12-01
214,low,2023-08-01,1,0,True,2023-09-01
215,medium,2023-06-01,3,0|1|2,True,2023-09-01
216,low,2023-08-01,4,0|1|2|3,True,2023-12-01
217,medium,2023-04-01,4,0|1|2|3,True,2023-08-01
218,low,2023-01-01,1,0,True,2023-02-01
219,medium,2023-08-01,6,0|1|2|3|4|5,True,2024-02-01
220,medium,2023-07-01,5,0|1|2|3|4,True,2023-12-01
221,low,2023-06-01,4,0|1|2|3,True,2023-10-01
222,medium,2023-02-01,5,0|1|2|3|4,True,2023-07-01
223,medium,2023-01-01,4,0|1|2|3,True,2023-05-01
224,low,2023-03-01,1,0,True,2023-04-01
225,medium,2023-05-01,6,0|1|2|3|4|5,True,2023-11-01
226,medium,2023-07-01,7,0|1|2|3|4|5|6,True,2024-02-01
227,medium,2023-06-01,8,0|1|2|3|4|5|6|7,True,2024-02-01
228,medium,2023-03-01,4,0|1|2|3,True,2023-07-01
229,low,2023-09-01,3,0|1|2,True,2023-12-01
230,medium,2023-03-01,10,0|1|2|3|4|5|6|7|8|9,True,2024-01-01
231,medium,2023-04-01,5,0|1|2|3|4,True,2023-09-01
232,low,2023-01-01,4,0|1|2|3,True,2023-05-01
233,medium,2023-01-01,9,0|1|2|3|4|5|6|7|8,True,2023-10-01
234,low,2023-07-01,2,0|1,True,2023-09-01
235,low,2023-01-01,1,0,True,2023-02-01
236,medium,2023-07-01,3,0|1|2,True,2023-10-01
237,medium,2023-03-01,4,0|1|2|3,True,2023-07-01
238,medium,2023-05-01,3,0|1|2,True,2023-08-01
239,medium,2023-08-01,2,0|1,True,2023-10-01
240,medium,2023-09-01,5,0|1|2|3|4,True,2024-02-01
241,medium,2023-04-01,9,0|1|2|3|4|5|6|7|8,True,2024-01-01
242,low,2023-08-01,1,0,True,2023-09-01
243,medium,2023-09-01,6,0|1|2|3|4|5,True,2024-03-01
244,medium,2023-09-01,4,0|1|2|3,True,2024-01-01
245,medium,2023-03-01,4,0|1|2|3,True,2023-07-01
246,medium,2023-04-01,6,0|1|2|3|4|5,True,2023-10-01
247,high,2023-06-01,14,0|1|2|3|4|5|6|7|8|9|10|11|12|13,True,2024-08-01
248,low,2023-02-01,1,0,True,2023-03-01
249,high,2023-08-01,14,0|1|2|3|4|5|6|7|8|9|10|11|12|13,True,2024-10-01
250,medium,2023-07-01,8,0|1|2|3|4|5|6|7,True,2024-03-01
251,medium,2023-02-01,7,0|1|2|3|4|5|6,True,2023-09-01
252,medium,2023-05-01,9,0|1|2|3|4|5|6|7|8,True,2024-02-01
253,medium,2023-03-01,1,0,True,2023-04-01
254,medium,2023-07-01,5,0|1|2|3|4,True,2023-12-01
255,low,2023-03-01,6,0|1|2|3|13|14,True,2024-06-01
256,medium,2023-09-01,8,0|1|2|3|4|5|6|7,True,2024-05-01
257,medium,2023-02-01,2,0|1,True,2023-04-01
258,low,2023-03-01,1,0,True,2023-04-01
259,low,2023-08-01,4,0|1|2|3,True,2023-12-01
260,medium,2023-02-01,5,0|1|2|3|4,True,2023-07-01
261,medium,2023-04-01,7,0|1|2|3|4|5|15,True,2024-08-01
262,low,2023-04-01,3,0|1|2,True,2023-07-01
263,high,2023-01-01,13,0|1|2|3|4|5|6|7|8|9|10|11|12,True,2024-02-01
264,medium,2023-06-01,7,0|1|2|3|4|5|6,True,2024-01-01
265,high,2023-03-01,13,0|1|2|3|4|5|6|7|8|9|10|11|12,True,2024-04-01
266,high,2023-05-01,8,0|1|2|3|4|5|6|7,True,2024-01-01
267,medium,2023-03-01,7,0|1|2|3|4|5|6,True,2023-10-01
268,medium,2023-07-01,3,0|1|2,True,2023-10-01
269,high,2023-06-01,13,0|1|2|3|4|5|6|7|8|9|10|11|12,True,2024-07-01
270,medium,2023-03-01,7,0|1|2|3|4|5|6,True,2023-10-01
271,low,2023-01-01,1,0,True,2023-02-01
272,medium,2023-08-01,7,0|1|2|3|4|5|14,True,2024-11-01
273,medium,2023-01-01,3,0|1|2,True,2023-04-01
274,high,2023-07-01,12,0|1|2|3|4|5|6|7|8|9|10|11,True,2024-07-01
275,low,2023-06-01,5,0|1|2|3|4,True,2023-11-01
276,medium,2023-08-01,2,0|1,True,2023-10-01
277,medium,2023-06-01,7,0|1|2|3|4|5|6,True,2024-01-01
278,medium,2023-09-01,3,0|1|2,True,2023-12-01
279,low,2023-04-01,3,0|1|2,True,2023-07-01
280,high,2023-06-01,14,0|1|2|3|4|5|6|7|8|9|10|11|12|17,False,
281,medium,2023-03-01,5,0|1|2|3|4,True,2023-08-01
282,low,2023-02-01,1,0,True,2023-03-01
283,low,2023-01-01,6,0|1|2|3|8|9,True,2023-11-01
284,medium,2023-09-01,6,0|1|2|3|4|5,True,2024-03-01
285,medium,2023-02-01,4,0|1|2|3,True,2023-06-01
286,low,2023-09-01,1,0,True,2023-10-01
287,medium,2023-06-01,6,0|1|2|3|4|5,True,2023-12-01
288,medium,2023-05-01,6,0|1|2|3|4|5,True,2023-11-01
289,low,2023-09-01,1,0,True,2023-10-01
290,high,2023-01-01,12,0|1|2|3|4|5|6|7|8|9|10|11,True,2024-01-01
291,medium,2023-07-01,6,0|1|2|3|4|5,True,2024-01-01
292,low,2023-01-01,5,0|1|2|3|4,True,2023-06-01
293,medium,2023-03-01,5,0|1|2|3|4,True,2023-08-01
294,high,2023-04-01,12,0|1|2|3|4|5|6|7|8|9|10|11,True,2024-04-01
295,medium,2023-05-01,7,0|1|2|3|4|5|6,True,2023-12-01
296,medium,2023-02-01,8,0|1|2|3|4|5|6|7,True,2023-10-01
297,medium,2023-02-01,4,0|1|2|3,True,2023-06-01
298,medium,2023-08-01,4,0|1|2|3,True,2023-12-01
299,low,2023-01-01,3,0|1|2,True,2023-04-01
300,medium,2023-02-01,8,0|1|2|3|4|5|6|7,True,2023-10-01
301,medium,2023-07-01,8,0|1|2|3|4|5|6|7,True,2024-03-01
302,medium,2023-02-01,7,0|1|2|3|4|5|6,True,2023-09-01
303,low,2023-01-01,2,0|1,True,2023-03-01
304,high,2023-01-01,13,0|1|2|3|4|5|6|7|8|9|10|11|12,True,2024-02-01
305,high,2023-04-01,9,0|1|2|3|4|5|6|7|8,True,2024-01-01
306,medium,2023-01-01,2,0|1,True,2023-03-01
307,low,2023-01-01,3,0|1|2,True,2023-04-01
308,low,2023-09-01,1,0,True,2023-10-01
309,low,2023-02-01,4,0|1|2|12,True,2024-03-01
310,medium,2023-05-01,8,0|1|2|3|4|5|6|7,True,2024-01-01
311,high,2023-03-01,14,0|1|2|3|4|5|6|7|8|9|10|11|12|13,True,2024-05-01
312,medium,2023-09-01,7,0|1|2|3|4|5|6,True,2024-04-01
313,low,2023-05-01,1,0,True,2023-06-01
314,medium,2023-06-01,6,0|1|2|3|4|5,True,2023-12-01
315,medium,2023-03-01,6,0|1|2|3|4|5,True,2023-09-01
316,medium,2023-09-01,5,0|1|2|3|4,True,2024-02-01
317,medium,2023-04-01,7,0|1|2|3|4|5|6,True,2023-11-01
318,low,2023-08-01,2,0|1,True,2023-10-01
319,medium,2023-06-01,2,0|1,True,2023-08-01
320,low,2023-01-01,1,0,True,2023-02-01
321,medium,2023-05-01,6,0|1|2|3|4|5,True,2023-11-01
322,medium,2023-08-01,5,0|1|2|3|4,True,2024-01-01
323,medium,2023-01-01,4,0|1|2|3,True,2023-05-01
324,medium,2023-09-01,9,0|1|2|3|4|5|6|7|8,True,2024-06-01
325,low,2023-05-01,2,0|1,True,2023-07-01
326,low,2023-03-01,3,0|1|2,True,2023-06-01
327,high,2023-08-01,7,0|1|2|3|4|5|6,True,2024-03-01
328,medium,2023-03-01,8,0|1|2|3|4|5|6|7,True,2023-11-01
329,high,2023-04-01,10,0|1|2|3|4|5|6|7|8|9,True,2024-02-01
330,low,2023-05-01,4,0|1|2|3,True,2023-09-01
331,low,2023-09-01,1,0,True,2023-10-01
332,low,2023-08-01,1,0,True,2023-09-01
333,low,2023-09-01,1,0,True,2023-10-01
334,low,2023-05-01,1,0,True,2023-06-01
335,high,2023-08-01,9,0|1|2|3|4|5|6|7|8,True,2024-05-01
336,low,2023-07-01,1,0,True,2023-08-01
337,low,2023-06-01,1,0,True,2023-07-01
338,high,2023-06-01,15,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14,True,2024-09-01
339,low,2023-05-01,4,0|1|2|3,True,2023-09-01
340,medium,2023-08-01,6,0|1|2|3|4|5,True,2024-02-01
341,medium,2023-04-01,2,0|1,True,2023-06-01
342,medium,2023-09-01,8,0|1|2|3|4|5|6|7,True,2024-05-01
343,low,2023-01-01,2,0|1,True,2023-03-01
344,medium,2023-09-01,7,0|1|2|3|4|5|6,True,2024-04-01
345,low,2023-02-01,2,0|1,True,2023-04-01
346,medium,2023-01-01,3,0|1|2,True,2023-04-01
347,low,2023-04-01,3,0|1|2,True,2023-07-01
348,low,2023-06-01,1,0,True,2023-07-01
349,medium,2023-08-01,6,0|1|2|3|4|5,True,2024-02-01
350,medium,2023-07-01,6,0|1|2|3|4|5,True,2024-01-01
351,medium,2023-01-01,8,0|1|2|3|4|5|6|7,True,2023-09-01
352,medium,2023-07-01,7,0|1|2|3|4|5|6,True,2024-02-01
353,medium,2023-06-01,3,0|1|2,True,2023-09-01
354,medium,2023-01-01,6,0|1|2|3|4|5,True,2023-07-01
355,medium,2023-06-01,3,0|1|2,True,2023-09-01
356,medium,2023-08-01,3,0|1|2,True,2023-11-01
357,low,2023-05-01,2,0|1,True,2023-07-01
358,high,2023-04-01,12,0|1|2|3|4|5|6|7|8|9|10|11,True,2024-04-01
359,medium,2023-03-01,10,0|1|2|3|4|5|6|7|8|9,True,2024-01-01
360,medium,2023-08-01,1,0,True,2023-09-01
361,low,2023-02-01,2,0|3,True,2023-06-01
362,high,2023-04-01,15,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14,True,2024-07-01
363,medium,2023-09-01,3,0|1|2,True,2023-12-01
364,medium,2023-09-01,1,0,True,2023-10-01
365,low,2023-09-01,1,0,True,2023-10-01
366,medium,2023-05-01,6,0|1|2|3|4|7,True,2024-01-01
367,medium,2023-07-01,3,0|1|2,True,2023-10-01
368,medium,2023-04-01,3,0|1|2,True,2023-07-01
369,low,2023-02-01,1,0,True,2023-03-01
370,high,2023-03-01,5,0|1|2|3|4,True,2023-08-01
371,medium,2023-08-01,8,0|1|2|3|4|5|6|12,True,2024-09-01
372,low,2023-05-01,3,0|1|2,True,2023-08-01
373,high,2023-01-01,8,0|1|2|3|4|5|6|7,True,2023-09-01
374,medium,2023-08-01,4,0|1|2|3,True,2023-12-01
375,low,2023-04-01,1,0,True,2023-05-01
376,low,2023-09-01,2,0|1,True,2023-11-01
377,low,2023-04-01,4,0|1|2|3,True,2023-08-01
378,medium,2023-09-01,6,0|1|2|3|4|5,True,2024-03-01
379,medium,2023-06-01,3,0|1|2,True,2023-09-01
380,medium,2023-04-01,7,0|1|2|3|4|5|6,True,2023-11-01
381,medium,2023-06-01,4,0|1|2|3,True,2023-10-01
382,low,2023-03-01,4,0|1|2|3,True,2023-07-01
383,medium,2023-02-01,8,0|1|2|3|4|5|6|7,True,2023-10-01
384,high,2023-04-01,8,0|1|2|3|4|5|6|7,True,2023-12-01
385,low,2023-05-01,1,0,True,2023-06-01
386,medium,2023-04-01,2,0|1,True,2023-06-01
387,low,2023-05-01,1,0,True,2023-06-01
388,low,2023-07-01,4,0|1|2|3,True,2023-11-01
389,low,2023-03-01,3,0|1|2,True,2023-06-01
390,medium,2023-04-01,7,0|1|2|3|4|5|6,True,2023-11-01
391,low,2023-07-01,3,0|3|4,True,2023-12-01
392,high,2023-07-01,8,0|1|2|3|4|5|6|7,True,2024-03-01
393,low,2023-07-01,3,0|1|2,True,2023-10-01
394,low,2023-06-01,1,0,True,2023-07-01
395,medium,2023-05-01,2,0|1,True,2023-07-01
396,low,2023-07-01,2,0|1,True,2023-09-01
397,low,2023-04-01,1,0,True,2023-05-01
398,low,2023-03-01,1,0,True,2023-04-01
399,high,2023-07-01,16,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,True,2024-11-01
400,low,2023-09-01,2,0|1,True,2023-11-01
401,medium,2023-02-01,4,0|1|2|3,True,2023-06-01
402,low,2023-02-01,3,0|1|2,True,2023-05-01
403,low,2023-09-01,1,0,True,2023-10-01
404,medium,2023-07-01,9,0|1|2|3|4|5|6|7|10,True,2024-06-01
405,medium,2023-01-01,2,0|1,True,2023-03-01
406,high,2023-06-01,11,0|1|2|3|4|5|6|7|8|9|10,True,2024-05-01
407,medium,2023-02-01,4,0|1|2|3,True,2023-06-01
408,medium,2023-06-01,5,0|1|2|3|4,True,2023-11-01
409,medium,2023-06-01,11,0|1|2|3|4|5|6|7|8|9|10,True,2024-05-01
410,low,2023-08-01,2,0|1,True,2023-10-01
411,low,2023-05-01,2,0|1,True,2023-07-01
412,high,2023-07-01,10,0|1|2|3|4|5|6|7|8|9,True,2024-05-01
413,low,2023-02-01,1,0,True,2023-03-01
414,medium,2023-03-01,5,0|1|2|3|4,True,2023-08-01
415,medium,2023-04-01,4,0|1|2|3,True,2023-08-01
416,low,2023-03-01,4,0|1|2|3,True,2023-07-01
417,medium,2023-04-01,6,0|1|2|3|4|5,True,2023-10-01
418,low,2023-06-01,1,0,True,2023-07-01
419,low,2023-01-01,2,0|1,True,2023-03-01
420,high,2023-01-01,11,0|1|2|3|4|5|6|7|8|9|10,True,2023-12-01
421,low,2023-06-01,4,0|1|2|3,True,2023-10-01
422,high,2023-09-01,9,0|1|2|3|4|5|6|7|8,True,2024-06-01
